[GIN] 2026/05/15 - 12:06:02 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:06:02 | 200 |  87.87ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 200 |   7.97ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:06:02 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:06:02 | 200 |  78.75ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:06:02 | 200 |  18.14ms |             ::1 | GET      "/api/user/profile"
[GIN] 2026/05/15 - 12:06:02 | 200 |  19.58ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:06:02 | 200 |  17.65ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 204 |       0s |             ::1 | OPTIONS  "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:02 | 200 |     35ms |             ::1 | GET      "/api/user/profile"
[GIN] 2026/05/15 - 12:06:02 | 200 |  67.19ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:06:02 | 200 |  55.01ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:02 | 200 | 195.01ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 200 |  49.72ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 200 |  71.33ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:06:02 | 200 | 154.58ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:02 | 200 |  85.06ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:03 | 200 |  95.44ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:03 | 200 |  76.36ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:06:19 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/config"
[GIN] 2026/05/15 - 12:06:19 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/config"
[GIN] 2026/05/15 - 12:06:19 | 200 |      1ms |             ::1 | GET      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:19 | 200 |   1.34ms |             ::1 | GET      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:53 | 200 |   67.5ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:06:53 | 200 |  503.2µs |             ::1 | GET      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:53 | 200 |  66.46ms |             ::1 | POST     "/api/login"
[GIN] 2026/05/15 - 12:06:53 | 200 |   4.45ms |             ::1 | PUT      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:53 | 200 |   2.63ms |             ::1 | POST     "/api/curhat/submit"
[GIN] 2026/05/15 - 12:06:53 | 200 |  13.22ms |             ::1 | POST     "/api/assessment/submit"
[GIN] 2026/05/15 - 12:06:53 | 429 |    1.5ms |             ::1 | POST     "/api/assessment/submit"
[GIN] 2026/05/15 - 12:06:53 | 200 |   5.38ms |             ::1 | PUT      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:53 | 503 |  504.9µs |             ::1 | GET      "/api/assessment"
[GIN] 2026/05/15 - 12:06:53 | 200 |   3.85ms |             ::1 | PUT      "/api/admin/config"
[GIN] 2026/05/15 - 12:06:53 | 200 |   2.24ms |             ::1 | GET      "/api/admin/users"
[GIN] 2026/05/15 - 12:06:53 | 200 |  13.78ms |             ::1 | DELETE   "/api/admin/users/12"
[GIN] 2026/05/15 - 12:08:51 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:08:51 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:08:51 | 204 |       0s |             ::1 | OPTIONS  "/api/responden"
[GIN] 2026/05/15 - 12:08:51 | 204 |       0s |             ::1 | OPTIONS  "/api/admin/analytics"
[GIN] 2026/05/15 - 12:08:52 | 200 |   4.13ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:08:52 | 200 |    2.5ms |             ::1 | GET      "/api/responden"
[GIN] 2026/05/15 - 12:08:52 | 200 |  31.72ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:08:52 | 200 |  19.94ms |             ::1 | GET      "/api/admin/analytics"
[GIN] 2026/05/15 - 12:08:59 | 200 |  11.49ms |             ::1 | GET      "/api/public/overview"
[GIN] 2026/05/15 - 12:08:59 | 200 |   8.04ms |             ::1 | GET      "/api/public/overview"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/google-login"
[GIN] 2026/05/15 - 12:09:07 | 200 | 130.01ms |             ::1 | POST     "/api/google-login"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/user/profile"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 204 |  541.5µs |             ::1 | OPTIONS  "/api/user/profile"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/gosip"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/user/history"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |   5.65ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |   8.54ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:09:07 | 200 |   6.15ms |             ::1 | GET      "/api/user/profile"
